id	name	cover	type	description	start_time	attending_count	declined_count	interested_count	noreply_count	maybe_count	place	country	city	lat	lng
243263849426425	PEC 55, Entendendo As Minúcias.	<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/15073539_1138006869631666_7372119911299886358_n.jpg?oh=bc00ce40ccd7d99868f96eeec0e8504e&oe=58BE742E" width="120" />	public	Estamos ocupando contra uma série de medidas que estão ameaçando os direitos dos estudantes e a estrutura da educação pública. Uma delas é essa tal de Proposta de emenda constitucional 55/2016 (antiga 241) Nesta segunda-feira o ocupa cpii receberá a professora de direito  Claudete Pessoa que tem um estudo específico nesse texto. Trata-se de uma aula bem didática e completa. O evento tem o intuito de elucidar as peculiaridades jurídicas e políticas dessa PEC do absurdo. O evento é aberto a TODAS E TODOS, incluindo RESPONSÁVEIS, PROFESSORES E ESTUDANTES.  ⭐⭐TIRE SUAS DÚVIDAS ❗❗ Logo depois teremos nosso show de talentos.	2016-11-21T14:00:00-0200	18	0	27	230	27	Colégio Pedro II	Brazil	Rio de Janeiro	-22.89921	-43.22119
197311850676333	PEC55 : A Unifesp vai parar?	<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/15055697_1683057505317450_3748428967962432767_n.jpg?oh=0598de367caa65e2ef182cced1f5fe0a&oe=58B7C6D0" width="120" />	public	GREVES, ATOS , OCUPAÇÕES estão na ordem do dia e enchem as mídias e as redes sociais nos últimos meses. -Mas por que deveria me preocupar com isso ?  - O que é essa tal de PEC ? (55 ou 241)  Para além das revoltas de Facebook , os Centros Acadêmicos do campus SP da UNIFESP convidam para uma conversa sobre a PEC e como ela afetará diretamente os estudantes e a saúde.   ----ONDE? ANFITEATRO A  ----- QUANDO ? QUARTA-FEIRA(23) 12H	2016-11-23T12:00:00-0200	51	0	34	760	34	Anfiteatro A Unifesp				
347614585592533	Debate PEC 55	<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/15036226_536455033225323_7575870336381714709_n.jpg?oh=0a6565adc9628c1a01896ff75eac95f9&oe=58B2D01D" width="120" />	public	O Centro Acadêmico Agerson Tabosa, com apoio da Sociedade de Debates e da Faculdade 7 de Setembro, promove o debate sobre a PEC 241, agora PEC 55. Muito importante enteder sobre o que o projeto trata, suas repercussões e como afeta nossa sociedade. Contaremos com a presença dos professores Fábio Sobral (UFC) e Rodrigo Marinho (Diretor de operações da Rede Liberdade). Aberto ao público.   23/11, das 17h as 19h, no Teatro Nila Gomes, na Faculdade 7 de Setembro.  Inscrições no site da FA7: http://fa7srvsec2.7setembro.com.br/Corpore.Net/Source/EduPS-ProcessoSeletivo/Public/EduPSPublicMain.aspx	2016-11-23T17:00:00-0300	264	0	596	1071	596	Faculdade 7 de Setembro - FA7	Brazil	Fortaleza	-3.7702899	-38.4900093
101155410371807	PEC 55: Intenções, consequências, resistências	<img src="https://scontent.xx.fbcdn.net/t31.0-8/s720x720/15122955_1110555882326558_3332826558454227637_o.jpg" width="120" />	public	A Ocupa Ciências Sociais te convida pra aula pública sobre a PEC 241, atual PEC 55, que vai acontecer às 15h no Auditório Luiz Gonzaga, no Departamento de Ciências Sociais da UFC. Chega junto!	2016-11-18T15:00:00-0300	63	0	108	317	108	Ch 3 - Centro De Humanidades 3 UFC, Benfica	Brazil	Fortaleza	-3.7424063487196	-38.540239583261
336392963411606	PEC 241/55 e as lutas da Saúde em Campinas	<img src="https://scontent.xx.fbcdn.net/t31.0-8/s720x720/15025110_338578446514580_8905858672983082615_o.jpg" width="120" />	public	Debate organizado pelo Fórum Popular de Saúde de Campinas para discutir a PEC 55  e a conjuntura nacional e local na saúde com o objetivo de organizar as lutas em defesa do SUS público e universal. Mesa (palestrantes a confirmar) - Conjuntura nacional e a PEC 55 - Conjuntura da saúde em Campinas - Formação em Saúde e os cortes de bolsas de residência médica e multiprofissional.	2016-11-21T19:30:00-0200	16	0	18	253	18					
358491341153600	Diálogos sobre a PEC55	<img src="https://scontent.xx.fbcdn.net/t31.0-8/s720x720/15110310_1780157442201878_7901709164664430056_o.jpg" width="120" />	public	Venha se informar e debater com especialistas sobre a PEC 55 que afetará negativamente a vida de milhões de brasileiras e brasileiros por duas décadas. O Seminário será realizada transmissão ao vivo pelo link: https://www.facebook.com/sintet.ufu	2016-11-21T19:00:00-0200	30	0	42	899	42	Sintet Ufu	Brazil	Uberlândia	-18.9033508	-48.2649918
323240811375676	Debate PEC 241 (55) na Engenharia	<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14639894_1169702079776595_5538297739207090552_n.jpg?oh=862598ec671d14ed5937e4e1c8889ed7&oe=58BA0EF6" width="120" />	public	Dada a conjuntura nacional atual, o DAEng vai promover um debate para discutir a PEC 241 (55) e como ela pode afetar o futuro da educação no país.   Dentre os convidados, estão: -Fernanda Perobelli: Professora adjunta da Faculdade de Economia e do Programa de Pós-Graduação em Economia Aplicada da UFJF (favorável à PEC)  -Paulo Roberto Figueira: Professor na graduação e no Mestrado em Comunicação da Facom-UFJF, pró-graduações em Ciência Política (contra a PEC)  O debate acontecerá no Anfiteatro da Cantina, às 19h, no dia 21 de novembro, segunda-feira.  A participação dos alunos é fundamental, independente do posicionamento em relação a Proposta de Ementa Constitucional, para que possamos não só debater mas impulsionar o pensamento crítico dos alunos em relação a situação do país.	2016-11-21T19:00:00-0200	45	0	51	603	51	Anfiteatro da Cantina - Faculdade de Engenharia UFJF				
293114514416775	Ocupa Manaus contra PEC55	<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/15036674_1002461016549881_778240432655399107_n.jpg?oh=07c2fb98e094924f50aecbbb92df97c4&oe=58C06F7E" width="120" />	public	Nós estamos passando por sérios ataques aos nosso direitos, empregos e condições de vida. O governo Temer que impor uma série de leis que atacam a saúde, educação os direitos trabalhistas e nosso direito de se aposentar. Isso com apoio dos grandes empresários, banqueiros e políticos corruptos e conservadores.  O que é ruim, vai ficar pior. Os hospitais, escolas, transporte público, serviço de água-esgoto e o funcionalismo público serão os mais prejudicados com aplicação destas medidas. Simplesmente, eles querem colocar a crise econômica nas costas do povo. Nós dizemos não! Que os ricos paguem pela crise.  Já os governos José Melo e Artur Neto fazem o dever-de-casa fechando unidades de saúde, escolas municipais e arrochando os salários de professores, enfermeiros e soldados. A violência aumenta, a falta d'agua continua e a corrupção assalta os cofres da saúde. Eles estão a serviço dos ricos e poderosos do Amazonas.  Então, nós sindicatos, movimento estudantil e popular, queremos dá um BASTA aos ataques contra o povo trabalhador. É hora organizamos para construir uma GREVE GERAL para parar todo país em defesa dos nossos direitos.  FRENTE DE LUTAS FORA TEMER | ANDES, ADUA, SINASEFE, SINTRA, SINDUEA, SINTESAM, SINPETRO, ASPROM, SINDSÓCIO, Sindicato dos Psicólogos, CSP-Conlutas, MLP, RCU-AM, FPMM, UJC, UJS, ANEL, UNE, Liberdade e Luta, Vem Pra Luta pela Educação, Luta Educador, Professores Unificados, MLPM, APS e LRP	2016-11-25T08:00:00-0400	182	1	295	1991	295	Reservatorio do Mocó	Brazil	Manáos	-3.1125	-60.01866
215273298909388	A Pec 55 ! O Que a Psicologia Tem a Ver Com Isso?	<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/15027565_617347735104581_5223934981734732388_n.jpg?oh=a983513204ce49ab4b45fc936764b5ba&oe=58B69496" width="120" />	public	Segunda- Feira, dia 21/11, está marcada uma ASSEMBLEIA GERAL da PUC- SP, para discutirmos de que maneira podemos nos posicionar, a partir do nosso lugar, contra a PEC 55, que representa o congelamento dos investimentos que buscam grantir os direitos sociais previstos em nossa constituição.  Chamamos esta reunião para que possamos nos posicionar enquanto CURSO DE PSICOLOGIA a respeito da PEC e avaliar, juntos, a nossa possibilidade de organização e ação  para levarmos para assembleia.  Os Sindicatos, Movimentos Sociais, e Estudantis estão se levantando contra a PEC de diversas maneiras através de greves, paralisações de vias, atos, e ocupações. Já são 170 universidades e mais de 1200 escolas ocupadas em todo o país contra a PEC 55 (antiga 241), que congela investimentos na saúde, educação e assistência social pelos próximos 20 anos.  AVISEM AOS COLEGAS, NAS AULAS, REUNIAO DO CA as 17HRS e ASSEMBLEIA GERAL AS 19HRS.  Estamos Pre Ocupados!	2016-11-21T17:00:00-0200	24	0	61	321	61	CA Psi	Brazil	São Paulo	-23.53827	-46.67068
342155922808233	Vigilia contra a PEC 241/55	<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/15073343_341926966170869_4756502652023017919_n.jpg?oh=a109d2599af833492c3d4e2bdd0636bf&oe=58CA3368" width="120" />	public	Como decidido em Assembleia Geral dos Estudantes da Faculdade de Saúde e Faculdade Medicina da Universidade de Brasília, no dia 10 de novembro de 2016, através de um encaminhamento proposto e aprovado pelos alunos presentes, será realizado um ato de manifestação do dia 28 de novembro para o dia 29 em frente ao Senado Federal.  Na assembleia em questão, os alunos se posicionaram contra a PEC 241/55, portanto, em resposta a essa disposição, os estudantes manifestarão conta a PEC que será votada no dia 29 de novembro. Convidamos todos os alunos da FS/FM e todos aqueles que desejarem comparecer para o ato de vigília.  CAENF, CAMED, CAFAR, CANUT, CAGESCO e CAODO.	2016-11-28T15:00:00-0200	72	0	187	1635	187	Senado Federal	Brazil	Brasília	-15.799769211174	-47.864212989807
