id	name	category	fan_count	checkins	talking_about_count	description	is_community_page	is_verified	cover	link	website
214536702312448	PEC55	Community	278	0	3	Disseram que você  estava desinformado?  Esta página está cheia de informações para você e para quem te chama de desinformado.			<img src="https://scontent.xx.fbcdn.net/t31.0-8/s851x315/14902737_215576678875117_8873673504986161947_o.png" width="120" />	https://www.facebook.com/pec55/	<<not-applicable>>
264596693877782	FDCE - UFMG contra PEC 55	Community	1631	0	81	  A FDCE já foi palco de muita luta e resistência, não é agora que iremos nos calar!   OCUPAR E RESISTIR SEMPRE! FORA TEMER!			<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/q85/s720x720/15032040_360156700988447_7073767142365269580_n.jpg?oh=b3c3adc79fc8f7e04a36e27a5e9d101f&oe=58C6ED4D" width="120" />	https://www.facebook.com/fdceufmgcontrapec55/	
1249572138398378	Não à PEC 55	Community	67	0	15				<img src="https://scontent.xx.fbcdn.net/t31.0-8/s720x720/14884702_1249669078388684_7792057497311039948_o.jpg" width="120" />	https://www.facebook.com/pec55nao/	
1756030941286975	PEC 555/2006	Organization	59	0	4	ESTA É A HORA DE CORRIGIR AS INJUSTIÇAS PARA COM OS APOSENTADOS E PENSIONISTAS DO SERVIÇO PÚBLICO É PRECISO QUE O PARLAMENTO DÊ UM FIM À TAXAÇÃO PREVIDENCIÁRIA DOS APOSENTADOS              Um absurdo jurídico e uma cruel injustiça.  Assim pode ser definida a contribuição previdenciária dos servidores públicos aposentados e seus pensionistas.    Criada pela Emenda Constitucional 41/2003, a taxação é fruto de um remendo jurídico, já que fere um princípio constitucional ao criar uma contribuição sem a contrapartida de qualquer benefício.             Qual a vantagem para quem paga a contribuição? Absolutamente nenhuma!  Pelo contrário, no momento em que mais precisam, na terceira idade, os aposentados  e os pensionistas do serviço público, são alvo de um verdadeiro confisco, perdendo  receita quando são notórios os aumentos de despesas para manter suas condições  mínimas de vida.             Se para quem paga o prejuízo é grande, para o governo a arrecadação não é  significativa e à medida em que os anos forem passando essas aposentadorias irão  diminuindo até à sua extinção, mormente diante do limite de contribuição estabelecido pela atual legislação.            É justamente para acabar com essa crueldade contra os aposentados que as  entidades abaixo relacionadas, que representam milhares de servidores públicos  aposentados e pensionistas, vêm a público manifestar-se pela aprovação imediata da  Proposta de Emenda Constitucional nº 555/2006, que estabelece o fim da  contribuição previdenciária para aposentados e pensionistas, cuja tramitação está  concluída, encontrando-se pronta para entrar na Ordem do Dia e votada na Câmara dos Deputados.            Para justificar a criação da contribuição, o governo alegou “deficit” nas contas da  previdência. No entanto, as entidades representativas dos servidores públicos,  comprovaram que a Seguridade Social teve SUPERAVIT em todos os anos,  considerando as receitas auferidas e as despesas realizadas, inclusive no ano de 2014,  com um SUPERAVIT de R$ 54 bilhões de reais, conforme dados extraídos das fontes do  próprio governo. Ainda, a tal “crise” no modelo de aposentadoria dos servidores já teria sido resolvida pelo corte imposto pelo governo, limitando o valor das contribuições aos novos servidores.             Embora que os argumentos para criar a contribuição já tenham caído por terra, vale enfatizar que a sistemática proposta pela PEC 555/2006 protege o caixa do Tesouro, ao assegurar redução gradual do desconto a partir dos 60 anos.  Assim, a contribuição excedente permanecerá até que o aposentado atinja essa idade, quando se inicia o processo de redução gradativa, à razão de 20% para cada ano decorrido, extinguindo-se quando o aposentado completar 65 anos.             A PEC 555/2006 está pronta para votação e aprovação pelo Plenário da Câmara  Federal.  É chegada a hora do nosso Parlamento defender a quem deu o seu suor e a sua vida pelo serviço público do país.			<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/12800306_1756372797919456_7418094633502096041_n.png?oh=299ebc8544069e873da4131d7bdf355b&oe=58D1FA30" width="120" />	https://www.facebook.com/campanhapec555/	
1080616365390439	PEC 55	Interest	1	0	0		1		 	https://www.facebook.com/pages/PEC-55/1080616365390439	
278602099203958	PEC 55 da Depressão	Community	134	0	338				<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/15085513_278681079196060_6117102147903523133_n.jpg?oh=8add6a85b68faf294a5f37c6fc0bcfff&oe=5887AB10" width="120" />	https://www.facebook.com/pec55dadepressao/	
334223390041454	Idosos Pedem Aprovação Pec 55506	Government Official	1857	0	2				<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/10422984_514578108672647_6726304958286407967_n.jpg?oh=9b48179a300501af092331d44801c29d&oe=58C73CB7" width="120" />	https://www.facebook.com/PEC555.06/	http://www.idosospedemaprovacaopec555.org.br
1791923934354732	Contra a PEC 55	Community	116	0	59	O Brasil precisa de controle de gastos? Sim, mas da forma que está sendo proposta não teremos eficiência.  Precisamos reduzir os gastos com os três poderes (Executivo, Legislativo e Judiciário), os verdadeiros "sanguessugas" dos cofres públicos.  Se os políticos realmente quisessem reduzir a dívida pública, fariam uma auditoria desta dívida para corrigir os juros distorcidos e as regalias de grandes empresas que lucram com a irresponsabilidade da União. EXISTEM outros caminhos para sairmos da situação atual no nosso país, como por exemplo: AUDITORIA DA DÍVIDA PÚBLICA. Com esta inspeção o Brasil não precisaria sacrificar sua população com cortes drásticos nos serviços públicos de que mais precisamos: saúde, educação, segurança e infraestrutura (que são promessas de prioridade de todos os políticos em suas propagandas eleitorais). Hoje a dívida pública e seus juros representam  R$ 2,79 TRILHÕES, é preciso rever os juros  O POVO NÃO MERECE SER ENGANADO, NÓS NÃO PODEMOS SER OS MAIORES PREJUDICADOS.			<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/14908239_1791946511019141_2290866970013526594_n.jpg?oh=a718815466dbac0da89ddc7bb78dd2cc&oe=58D47376" width="120" />	https://www.facebook.com/contraPEC55/	
1293468827362405	J.J.Lages Contra Pec55	Public Figure	164	0	262				<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/15079002_1293470910695530_1538012060594460342_n.jpg?oh=1a12de5feb3b0d2f5b4a3f27af7859d7&oe=58B95CFA" width="120" />	https://www.facebook.com/Contra.a.Pec55/	
1352354008111174	Cetepi contra a Pec 55	Organization	143	0	197				<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/15032699_1355401311139777_8155585184134077440_n.png?oh=e331ce9b22215d097b8ee97c5c5e3493&oe=58BE6F56" width="120" />	https://www.facebook.com/cetepicontraApec55/	
1712496339065710	Referendo Já na PEC55	Product/Service	65	0	84				<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/15032756_1712497375732273_2543073748565987697_n.jpg?oh=3f70f6ccc74d76988ac1f677c7cc2112&oe=58D293B2" width="120" />	https://www.facebook.com/referendojanapec55/	
711433052366831	Todos contra a PEC 241/55	Community	50	0	9				<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/14908307_711447972365339_6571951367799670954_n.png?oh=1247eb29fb0b4726ef071f9fc72081e5&oe=58D2B56C" width="120" />	https://www.facebook.com/contraareforma/	
1157554874334551	Todos contra Pec 55	Community	27	0	29				 	https://www.facebook.com/Todos-contra-Pec-55-1157554874334551/	
1122912117746139	Contra a Reforma do Ensino Médio e a PEC 55/241  C.M.D	Community	113	0	17				<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14642009_1143108652393152_7834773853564885783_n.jpg?oh=ffe7e3acf3d538db3312693a977d404e&oe=58D487C8" width="120" />	https://www.facebook.com/contraareformaensinomedioeapec241/	
1497084430527745	Seminário PEC 555	Community	26	0	0				<img src="https://scontent.xx.fbcdn.net/t31.0-8/s720x720/10535722_1514853078750880_1006226421921731175_o.jpg" width="120" />	https://www.facebook.com/debatepec555/	
328304287539388	Contra PEC 55	Education	1	0	0				 	https://www.facebook.com/Contra-PEC-55-328304287539388/	
1589845607707843	Contra a pec.241-55	Media	7	0	8				 	https://www.facebook.com/Contra-a-pec241-55-1589845607707843/	
199326943848903	UFSC em defesa do SUS: contra a PEC 55	Community	217	0	245				<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/15094381_199328630515401_6787237006060611867_n.jpg?oh=2494c66816df2746f22e25565f58c92a&oe=58B2E300" width="120" />	https://www.facebook.com/ufscemdefesadosus/	
1633706566655557	Ppgp/ufpa Contra a PEC 241/55	Community	37	0	58	Mobilização dos estudantes de pós-graduação em psicologia da UFPA contra a PEC 241/55			<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/15171156_1633716633321217_3900261883382710578_n.jpg?oh=eeb833780a5a220656dbc77f9f6d44cc&oe=58BCD6B4" width="120" />	https://www.facebook.com/psicologiaufpacontrapec/	
1152526291451981	Caruaru Contra a PEC 241/55	Community	45	0	50				<img src="https://scontent.xx.fbcdn.net/t31.0-8/s720x720/15128960_1152599574777986_1925136794993995591_o.jpg" width="120" />	https://www.facebook.com/Caruaru.antiPEC55.241/	http://www.auditoriacidada.org.br
1340164422683262	Palmeira na luta contra a  PEC 241/55	Community	396	0	580				<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/15055774_1340215526011485_7053102977683336956_n.jpg?oh=92dcf5a058344a622e1f6f1a41d95eef&oe=58BB8D18" width="120" />	https://www.facebook.com/palmeiranaluta/	
1288346741217794	DigaNãoàPEC241	Media	28	0	5				<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14611147_1290734214312380_6547000376424532898_n.jpg?oh=7dd51c096e37db052d170d22139f2fdd&oe=58BE736A" width="120" />	https://www.facebook.com/DigaNaoaPEC55/	
144826025991397	PEC- 55 O Golpe é contra você	Community	131	0	13				<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/14440627_144836895990310_461187471523753582_n.jpg?oh=c892c6c8c1bc8ef5b161ad9283935593&oe=58C558BA" width="120" />	https://www.facebook.com/www.vempraruacap.com.br/	
1241113605950520	Não à Pec 241-55	Community	278	0	31				<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/14992061_1241173309277883_6026709302132252662_n.jpg?oh=d9337df5dfba58301f384f92a8a1d89f&oe=58C51149" width="120" />	https://www.facebook.com/Não-à-Pec-241-55-1241113605950520/	http://www.naopec.com.br
1604674283167727	UNEB IX Contra a PEC 55	Community	53	0	10				<img src="https://scontent.xx.fbcdn.net/v/t1.0-9/14639766_1604689036499585_5332536052293106164_n.jpg?oh=9c4b3fc1d06f67761acb5cd769e70527&oe=58BEDCAC" width="120" />	https://www.facebook.com/unebIXcontraaPEC/	
647126315460968	PEC 241 = 55 Informação e luta	Community	12	0	1	A página é atualizada diariamente e conta com as seguintes informações:  - Situação da PEC do Teto de Gastos Públicos atualmente - Novidades gerais relevantes - Conjunto de informações sobre a PEC e sua relação com um determinado tema.  Não escondemos que nossa posição é, a princípio, contrária à aprovação da PEC, mas queremos debater e nos propomos a defender nossa posição com argumentos sólidos.			<img src="https://scontent.xx.fbcdn.net/t31.0-8/s720x720/15016330_647131285460471_2809839831291529907_o.png" width="120" />	https://www.facebook.com/PEC-241-55-Informação-e-luta-647126315460968/	
