"pt","en"
"cuca  teatro  osso    realização  temporada 2017  peça canto  rinoceronte  homens   grupo teatro  osso   parceria  circuito universitário  cultura  arte   cuca  une  previsão é   partir  março  parceria leve teatro  oficinas  universidades  escolas  periferia  sp leia   site","Caca theater stage performance 2017 piece corner rhino rhino men group theater theater group partnership university university culture arts culture joke light march partnership parade parties school schools skylight university"
"ranúsia alves presente   durante anos  diretório acadêmico  enfermagem  ufpe  ranúsia alves  lutou pra   exestudante  reconhecida  dicente  instituição ranúsia  presa  primeira vez  1968  após participar  xxxº congresso  une   ibiúna  sp  liberta  seguida   expulsa  ufpe   abandonou  luta     duramente assassinada  ditadura  27  outubro  1973    durante anos  estudantes  enfermagem   direções    lutaram pra    reconhecida  parte  corpo dicente   assim  fazer justiça     história  defesa  democracia   educação    2016    pautas internas  ocupação  enfermagem   reconhecimento  estudante   declaração  universidade federal  pernambuco  comprovando  ranúsia frequentara  curso     anos  luta    ocupantes  departamento  enfermagem conseguiram  conquista é    esqueçamos    nunca  aconteça   ranúsia alves presente","Raniasia alves present for years academic directory nursing ufpe ranúsia alves fought for exestudante recognized dicente institution ranusia first time 1968 after participating xxxº congress une ibiúna sp liberta followed expelled ufpe abandoned hard fight assassinated dictatorship 27 october 1973 for years students nursing directions fought for recognized part Body, diction, do, justice, history, defense, democracy, education, 2016, interns, occupation, nursing, recognition, student, statement, university, federal, pernambuco, proving, ranch, attendance, course, years, struggle, occupants, department, nursing,"
" unifor universidade  fortaleza convidou todos   estudantes  participarem  10ª bienal  une   vai perder   faça  inscrição  "," Unifor university fortress invited all students to participate 10th biennial un will miss make inscription"
"instituições  ensino  todo  país  ocupadas  estudantes     mês  protestam contra  medidas arbitrárias  governo  temer golpista  marcar  luta  estudantes  apoiada  professores  técnicos  estudantes  ufpa lançaram  documentário nenhum direito  menos   narra  marcha  brasília    documentário   jovens expõem  estado  horror    enfrentar  congresso nacional  plena democracia durante  votação  primeiro turno  pec 55   senado  estudantes reafirmam   luta irá continuar    restitua  normalidade constitucional  país  via academia amazônia  ufpa","Institute, students, protest, against, arbitrary, measures, arbitrary, measures, government, fear, stamp, fight, students, support, professors, technical, students, ufpa, launched, documentary, none, less, Will continue restitution normality constitutional country via amazon academy ufpa"
"artesvisuais   pintura  instalação   grafiti  performance   escultura  charge  60 trabalhos selecionados   maior festival estudantil  américa latina    ","Arts painting installation graffiti performance sculpture 60 selected works largest student festival latin america"
" gerente ficou maluco  aproveite prorrogamos  inscrições promocionais  bienal   dia 2012 inscrevase agora    vembienal 10bienaldaune"," Manager went crazy take advantage of extended promotional registrations biennial day 2012 subscribe now vembienal 10bienaldaune"
"valor promocional prorrogado d   inscrições  participantes     estudantes  desejam expor trabalhos  10ª bienal  une  abertas  podem ser feitas  valor  r 100 00 cem reais   dia 20  dezembro  2017  estudantes cotistas   beneficiários  programa universidade  todos prouni  desconto  30  inscrições feitas online   dia 25  janeiro    leia   site","Promotional value extended d enrollments participants students wish to exhibit works 10th biennial unites open can be made value r 100 00 hundred reais day 20 december 2017 students quota holders beneficiaries program university all prouni discount 30 registrations made online January 25 read site"
"pessoal  nova promo   10bienaldaune dessa vez valendo três inscrições vejam  regras  página  cuca  une  boa sorte  vembienal","New personal promo 10bienaldaune this time worth three inscriptions see rules page cuca une good luck vembienal"
"atenção   nova data  bienal    mudança  data  dá  questões logísticas  estruturais  objetivo  atender melhor    qualidade  milhares  estudantes   deslocarão   ceará   vem ler  site   informar curta  compartilhe   amigos ","Attention new date biennial change date gives structural logistical objectives aim to meet better quality thousands students will relocate ceará come read site inform inform short share friends"
" homem   ditadura  silenciou   dom paulo evaristo arns morreu nesta quartafeira 14   paulo  95 anos  vida  trajetória ficou marcada  defesa  direitos humanos durante  ditadura militar   retomada  democracia     rendeu  apelido  cardeal  resistência  ganhou projeção  militância  janeiro  1971  logo após tornarse arcebispo   paulo   denunciar  prisão  tortura  dois agentes  pastoral   padre giulio vicini   assistente social yara spadini   ano  apoiou dom hélder câmara  dom waldyr calheiros    sendo pressionados  regime militar   1972 criou  comissão justiça  paz   paulo    presidente regional  conferência nacional  bispos  brasil cnbb  liderou  publicação  testemunho  paz  documento  fortes críticas  regime militar  ganhou ampla repercussão  época  presidiu celebrações históricas  catedral  sé   centro   paulo   memória  vítimas  ditadura militar dentre    estudante universitário alexandre vannucchi leme   assassinado  1973 homenageado postumamente  símbolo  dce livre  usp    ato ecumênico  honra  jornalista vladimir herzog  assassinado  doicodi    paulo   1975 atuou contra  invasão  puc  1977    paulo  comandada  coronel erasmo dias   época secretário  segurança   farol progressista   apaga  momento tão delicado   democracia"," Man dictatorship silenced gift paulo evaristo arns died this Wednesday 14 paulo 95 years life trajectory was marked defense human rights during military dictatorship retake democracy yielded nickname cardinal resistance gained projection militancy January 1971 soon after becoming becoming archbishop paulo report imprisonment torture two agents pastoral priest giulio vicini assistant Social yara spadini year supported dom hilder gift domicile waldyr calheiros being pressured military regime 1972 created committee justice peace paulo president regional conference national bishops brazil cnbb led publication testimony peace document strong criticism military regime won wide repercussion time presided over celebrations historic cathedral cathedral center paulo memory victims Military dictatorship of university student alexandre vannucchi rene assassinated 1973 honored posthumously symbol dce free usp ecumenical honor honor journalist vladimir herzog assassinated doicodi paulo 1975 acted against invasion puc 1977 paulo commanded colonel erasmo days time secretary security headlight progressive erases moment so delicate democracy"
