"pt","en"
"RT @editoraboitempo: Tudo que você precisa saber sobre a #Pec241 (#Pec55) em 10 perguntas e respostas pela economista Laura Carvalho https:…","RT @editoraboitempo: Everything you need to know about the # Pec241 (# Pec55) in 10 questions and answers by economist Laura Carvalho https: ..."
"RT @paulopaim: Assista a audiência público agora AO VIVO: https://t.co/malSXq9viK #PEC55 #PECdaMORTE","RT @paulopaim: Watch the public hearing now LIVE: https://t.co/malSXq9viK # PEC55 #PECdaMORTE"
"RT @asa_brasil: Acompanhe #protestos que estão sendo realizados em todo o #Brasil por \\Nenhum Direito a Menos\\"" e contra a #PEC55 em: https:…""","RT @associates: #spanish #spanish #spanish #spanish #spanish #spanish #spanish #spanish #spanish"
"RT @PersonalEscrito: Manifestação em #PortoAlegre contra a #PEC55. #PECdoFimDoMundo #pecdosricos #CruzeOsBraços https://t.co/CWMNIWpSHv","RT @PersonalEscrito: Manifestation in #PortoAlegre against # PEC55. #PECdoFimDoMundo #pecdosricos # CruzeOsBraços https://t.co/CWMNIWpSHv"
"RT @ptbrasil: Senadores pedem o arquivamento da #PEC55 por violação à Constituição. https://t.co/UCsmemEyF1","RT @ptbrasil: Senators request the filing of # PEC55 for violation of the Constitution. Https://t.co/UCsmemEyF1"
"RT @ptbrasil: Para o secretário-geral da CUT quem representa a classe trabalhadora não pode se omitir da luta conta a #PEC55. https://t.co/…","RT @ptbrasil: For the secretary general of the CUT who represents the working class can not be omitted from the fight account to # PEC55. Https://t.co/..."
"RT @ptbrasil: Movimentos sociais, estudantis e sindicais se organizam contra #PEC55. https://t.co/TzxKRqCREQ","RT @ptbrasil: Social, student and union movements organize against # PEC55. Https://t.co/TzxKRqCREQ"
"RT @SenadoFederal: A #PEC55, que define limite de gastos por 20 anos, começará a ser votada no dia 29 de novembro. https://t.co/6MMRfhpEHU","RT @SenadoFederal: A # PEC55, which sets spending limits for 20 years, will begin to be voted on November 29. Https://t.co/6MMRfhpEHU"
"RT @SenadoFederal: No dia 22 de novembro, começa o debate sobre a #PEC55, que estabelece limite de gastos por 20 anos. https://t.co/xgl6SHR…","RT @SenadoFederal: On November 22, the debate begins on # PEC55, which establishes spending limits for 20 years. Https://t.co/xgl6SHR..."
"RT @Caiado_2018: O PT é contrário a PEC55 da mesma maneira que foi  contra o Plano Real, lei de responsabilidade Fiscal e a constituição! h…","RT @ Caiado_2018: The PT is contrary to PEC55 in the same way that it was against the Real Plan, fiscal responsibility law and the constitution! H…"
"RT @Caiado_2018: O PT é contrário a PEC55 da mesma maneira que foi  contra o Plano Real, lei de responsabilidade Fiscal e a constituição! h…","RT @ Caiado_2018: The PT is contrary to PEC55 in the same way that it was against the Real Plan, fiscal responsibility law and the constitution! H…"
"Dep @LeoDoPT abre o seminário da Comissão de Fiscalização Financeira e Controle da Câmara sobre a tragédia que é a… https://t.co/CIFjSH8Smj","Dep @LeoDoPT opens the seminar of the Commission of Financial Supervision and Control of the House on the tragedy that is the ... https://t.co/CIFjSH8Smj"
"RT @Caiado_2018: O PT é contrário a PEC55 da mesma maneira que foi  contra o Plano Real, lei de responsabilidade Fiscal e a constituição! h…","RT @ Caiado_2018: The PT is contrary to PEC55 in the same way that it was against the Real Plan, fiscal responsibility law and the constitution! H…"
"RT @Vivihtuitando: Povo de SP, vai rolar ato contra a PEC55 dia 27, na Av. Paulista, 15 h. Fazer pressão por aqui é válido, mas ñ substitui…","RT @Vivihtuitando: People of SP, will act against PEC55 day 27, in Av. Paulista, 15 h. Making pressure here is valid, but replacing ..."
"@MichelTemer na reunião do conselhão justificando a #PEC55 https://t.co/EabgrchMf7","@MichelTemer at the council meeting justifying the # PEC55 https://t.co/EabgrchMf7"
"#Referendo #PEC55
Bom dia, amigos e amigas. Vamos todos opinar sobre a PEC 55 (antiga PEC 241), que tramita agora... https://t.co/XEg0N23c9I","#Referendo # PEC55  Good morning friends. Let's all say about PEC 55 (former PEC 241), which is now being processed ... https://t.co/XEg0N23c9I"
"RT @Mavsampaio: MENTIRA CRIMINOSA
Recruta da #GloboGolpista diz correção p inflação é mesmo q crescimento dos gastos e q juros já pactuados…","RT @Mavsampaio: CRIMINAL LIE  Recruit of #GloboGolpista says correction p inflation is same q growth of expenses and interest q already agreed ..."
"RT @villaverdeadao: Pacote d Sartori a semelhança da PEC55,  ñ é mero ajuste fiscal. Eles querem  transformar o Br e o RS num outro projeto…","RT @villaverdeadao: Package Sartori the similarity of PEC55, ñ is mere fiscal adjustment. They want to turn Br and RS into another project ..."
"RT @Mavsampaio: MENTIRA CRIMINOSA
Recruta da #GloboGolpista diz correção p inflação é mesmo q crescimento dos gastos e q juros já pactuados…","RT @Mavsampaio: CRIMINAL LIE  Recruit of #GloboGolpista says correction p inflation is same q growth of expenses and interest q already agreed ..."
"RT @Caiado_2018: O PT é contrário a PEC55 da mesma maneira que foi  contra o Plano Real, lei de responsabilidade Fiscal e a constituição! h…","RT @ Caiado_2018: The PT is contrary to PEC55 in the same way that it was against the Real Plan, fiscal responsibility law and the constitution! H…"
"RT @Caiado_2018: O PT é contrário a PEC55 da mesma maneira que foi  contra o Plano Real, lei de responsabilidade Fiscal e a constituição! h…","RT @ Caiado_2018: The PT is contrary to PEC55 in the same way that it was against the Real Plan, fiscal responsibility law and the constitution! H…"
"RT @villaverdeadao: Pacote d Sartori a semelhança da PEC55,  ñ é mero ajuste fiscal. Eles querem  transformar o Br e o RS num outro projeto…","RT @villaverdeadao: Package Sartori the similarity of PEC55, ñ is mere fiscal adjustment. They want to turn Br and RS into another project ..."
"RT @Mavsampaio: MENTIRA CRIMINOSA
Recruta da #GloboGolpista diz correção p inflação é mesmo q crescimento dos gastos e q juros já pactuados…","RT @Mavsampaio: CRIMINAL LIE  Recruit of #GloboGolpista says correction p inflation is even q growth of expenses and interest q already agreed ..."
"RT @villaverdeadao: Pacote d Sartori a semelhança da PEC55,  ñ é mero ajuste fiscal. Eles querem  transformar o Br e o RS num outro projeto…","RT @villaverdeadao: Package Sartori the similarity of PEC55, ñ is mere fiscal adjustment. They want to turn Br and RS into another project ..."
"RT @Mavsampaio: MENTIRA CRIMINOSA
Recruta da #GloboGolpista diz correção p inflação é mesmo q crescimento dos gastos e q juros já pactuados…","RT @Mavsampaio: CRIMINAL LIE  Recruit of #GloboGolpista says correction p inflation is same q growth of expenses and interest q already agreed ..."
