"pt","num"
"RT @editoraboitempo: Tudo que você precisa saber sobre a #Pec241 (#Pec55) em 10 perguntas e respostas pela economista Laura Carvalho https:…",1
"RT @paulopaim: Assista a audiência público agora AO VIVO: https://t.co/malSXq9viK #PEC55 #PECdaMORTE",1
"RT @PTnaCamara: \\"O Brasil não suporta 20 anos de despesas congeladas. Não se combate desemprego com recessão\\", critica @erikakokay a #PEC24…",1
"RT @asa_brasil: Acompanhe #protestos que estão sendo realizados em todo o #Brasil por \\"Nenhum Direito a Menos\\" e contra a #PEC55 em: https:…",1
"RT @PersonalEscrito: Manifestação em #PortoAlegre contra a #PEC55. #PECdoFimDoMundo #pecdosricos #CruzeOsBraços https://t.co/CWMNIWpSHv",1
"RT @ptbrasil: Senadores pedem o arquivamento da #PEC55 por violação à Constituição. https://t.co/UCsmemEyF1",1
"RT @ptbrasil: Para o secretário-geral da CUT quem representa a classe trabalhadora não pode se omitir da luta conta a #PEC55. https://t.co/…",1
"RT @ptbrasil: Movimentos sociais, estudantis e sindicais se organizam contra #PEC55. https://t.co/TzxKRqCREQ",1
"RT @JenSoares73: TIA DA BANDEIRA DO \\"JAPÃO COMUNISTA\\" PARECE TOURO EM TOURADA, FICA LOUCA COM VERMELHO #pobrededireita #PEC55 #PEC55QueroDe…",1
"RT @SenadoFederal: A #PEC55, que define limite de gastos por 20 anos, começará a ser votada no dia 29 de novembro. https://t.co/6MMRfhpEHU",1
"RT @SenadoFederal: No dia 22 de novembro, começa o debate sobre a #PEC55, que estabelece limite de gastos por 20 anos. https://t.co/xgl6SHR…",1
"RT @Caiado_2018: O PT é contrário a PEC55 da mesma maneira que foi  contra o Plano Real, lei de responsabilidade Fiscal e a constituição! h…",1
"\\"O Brasil não suporta 20 anos de despesas congeladas. Não se combate desemprego com recessão\\", critica @erikakokay… https://t.co/y8fkMpTLRX",1
"Dep @LeoDoPT abre o seminário da Comissão de Fiscalização Financeira e Controle da Câmara sobre a tragédia que é a… https://t.co/CIFjSH8Smj",1
"RT @Vivihtuitando: Povo de SP, vai rolar ato contra a PEC55 dia 27, na Av. Paulista, 15 h. Fazer pressão por aqui é válido, mas ñ substitui…",1
"@MichelTemer na reunião do conselhão justificando a #PEC55 https://t.co/EabgrchMf7",1
"#Referendo #PEC55
Bom dia, amigos e amigas. Vamos todos opinar sobre a PEC 55 (antiga PEC 241), que tramita agora... https://t.co/XEg0N23c9I",1
"RT @Mavsampaio: MENTIRA CRIMINOSA
Recruta da #GloboGolpista diz correção p inflação é mesmo q crescimento dos gastos e q juros já pactuados…",1
"RT @villaverdeadao: Pacote d Sartori a semelhança da PEC55,  ñ é mero ajuste fiscal. Eles querem  transformar o Br e o RS num outro projeto…",1
"Nova edição do Diário Senge Goiás https://t.co/SEAAQjFsl8 notícias por @aquicultura @exploracao @embrapa #cop22 #pec55",1
"RT @fabioCRUFIEL: Fechamento d agências do BB #Pec55 byebye pré-sal, aposentar aos 70

Parabéns pobre d direita q pediu impeachment e agora…",1
"Pacote d Sartori a semelhança da PEC55,  ñ é mero ajuste fiscal. Eles querem  transformar o Br e o RS num outro pro… https://t.co/8rSPZe9lrh",1
"RT @SlimRimografia1: #PEC55
#PECdaMaldade
#PECdoFimDoMundo
Trump
Temer (T &amp; T)
Tipo
Navio negreiro
Tipo
volta a senzala
Tipo
\\"meu País de v…",1
